Strain Amplitude (%),Material,Heat Treatment,Cycle,Relative Cycle,eIP (%),sigmayT (MPa),sigma dot _T (GPa),Wp (kJ/m3),We+ (kJ/m3),sigmaMT (MPa),sigmaMC (MPa)
0.4,0,300,3,0.001239157,0.183396,128.3847574,60.14300676,0.003029638,0.018860135,152.3780214,-112.868422
0.4,0,300,4,0.00165221,0.205741,97.21321463,59.01208016,0.003763982,0.019641444,156.7566136,-117.7709237
0.4,0,300,7,0.002891367,0.218091,109.1002204,57.53383785,0.005616658,0.023422106,168.4498446,-132.096262
0.4,0,300,12,0.004956629,0.250587,115.8794666,55.20474212,0.008660034,0.027978344,183.1605793,-149.9023693
0.4,0,300,20,0.008261049,0.28686,60.94467765,51.03526371,0.013054633,0.03328246,197.3061377,-166.6010897
0.4,0,300,32,0.013217679,0.317283,60.1860853,48.76090243,0.017430164,0.037519146,206.6363929,-178.4514935
0.4,0,300,52,0.021478728,0.331354,40.09415335,46.7525889,0.020740624,0.039052964,210.9252746,-182.8272149
0.4,0,300,85,0.035109459,0.33782,51.64887123,46.00153208,0.022264346,0.040322687,214.2890611,-179.9833907
0.4,0,300,137,0.056588187,0.338292,71.52765093,45.82957881,0.023554438,0.044034446,224.1317429,-169.4391724
0.4,0,300,221,0.091284593,0.334239,85.30647258,45.26016094,0.024917834,0.049401989,237.284385,-155.6101129
0.4,0,300,357,0.147459727,0.334539,84.90062209,45.93548572,0.025605446,0.053243654,247.6107861,-149.7864633
0.4,0,300,576,0.237918216,0.314741,79.79465685,46.13094637,0.02552268,0.055555999,253.924973,-150.073537
0.4,0,300,930,0.384138786,0.29407,73.18729597,46.36884549,0.025178366,0.058501729,259.7177621,-150.655579
0.4,0,300,1210,0.499793474,0.33381,65.47828963,47.25990793,0.024515844,0.058777503,261.893781,-151.4611797
0.4,0,300,1500,0.619578686,0.349016,75.57646714,47.61972276,0.024240462,0.05889413,262.3660173,-152.4914156
0.4,0,300,2421,1,0.330567,64.05332737,45.71432707,0.025061009,0.04999969,236.2171884,-166.6742935
1.2,0,300,3,0.020979021,0.750189,-113.776321,8.974743725,0.375974301,0.070785126,285.5071642,-242.1318684
1.2,0,300,5,0.034965035,0.361271,-97.84613058,9.495832942,0.385893313,0.07597166,294.762826,-249.3189676
1.2,0,300,6,0.041958042,0.469728,-98.00635368,9.552299346,0.393670155,0.077472111,297.9371789,-251.5638832
1.2,0,300,9,0.062937063,0.635352,-101.5323371,9.524041509,0.412276353,0.079990924,303.7890855,-256.4160981
1.2,0,300,11,0.076923077,0.644431,-102.0664141,9.489530314,0.420561403,0.081986958,306.3666343,-258.4954139
